candidate_id,dataset,horizon_step,horizon_group,mae
Control_D_DynamicConfidence,PJM,7,Short (1-8),240.1912630050244
Control_D_DynamicConfidence,PJM,8,Short (1-8),247.83133637574323
Control_D_DynamicConfidence,PJM,9,Medium (9-16),257.71956612625047
Control_D_DynamicConfidence,PJM,10,Medium (9-16),271.0528256936256
Control_D_DynamicConfidence,PJM,11,Medium (9-16),267.67604588938764
Control_D_DynamicConfidence,PJM,12,Medium (9-16),284.8126162753234
Control_D_DynamicConfidence,PJM,13,Medium (9-16),267.09634874734
Control_D_DynamicConfidence,PJM,14,Medium (9-16),279.33236125723045
Control_D_DynamicConfidence,PJM,15,Medium (9-16),270.12398481127275
Control_D_DynamicConfidence,PJM,16,Medium (9-16),272.4594349550957
Control_D_DynamicConfidence,PJM,17,Long (17-24),266.4836092410321
Control_D_DynamicConfidence,PJM,18,Long (17-24),271.11239726314113
Control_D_DynamicConfidence,PJM,19,Long (17-24),263.84741008865296
Control_D_DynamicConfidence,PJM,20,Long (17-24),266.5744240040161
Control_D_DynamicConfidence,PJM,21,Long (17-24),264.1272192465017
Control_D_DynamicConfidence,PJM,22,Long (17-24),255.40143160209038
Control_D_DynamicConfidence,PJM,23,Long (17-24),264.07674136006636
Control_D_DynamicConfidence,PJM,24,Long (17-24),263.5375043121709
Control_D_DynamicConfidence,GEFCom,1,Short (1-8),4.677629353209089
Control_D_DynamicConfidence,GEFCom,2,Short (1-8),6.284411060487943
Control_D_DynamicConfidence,GEFCom,3,Short (1-8),7.600009011928841
Control_D_DynamicConfidence,GEFCom,4,Short (1-8),8.723390438326076
Control_D_DynamicConfidence,GEFCom,5,Short (1-8),9.74422497891211
Control_D_DynamicConfidence,GEFCom,6,Short (1-8),10.591473101908477
Control_D_DynamicConfidence,GEFCom,7,Short (1-8),11.28945353625264
Control_D_DynamicConfidence,GEFCom,8,Short (1-8),11.971058541695797
Control_D_DynamicConfidence,GEFCom,9,Medium (9-16),12.616021989037478
Control_D_DynamicConfidence,GEFCom,10,Medium (9-16),13.037765316032802
Control_D_DynamicConfidence,GEFCom,11,Medium (9-16),13.569265314913675
Control_D_DynamicConfidence,GEFCom,12,Medium (9-16),13.95592338176935
Control_D_DynamicConfidence,GEFCom,13,Medium (9-16),14.203404517396159
Control_D_DynamicConfidence,GEFCom,14,Medium (9-16),14.539235972241691
Control_D_DynamicConfidence,GEFCom,15,Medium (9-16),14.562495797203413
Control_D_DynamicConfidence,GEFCom,16,Medium (9-16),14.640878186923173
Control_D_DynamicConfidence,GEFCom,17,Long (17-24),14.920524830302567
Control_D_DynamicConfidence,GEFCom,18,Long (17-24),15.047147121226054
Control_D_DynamicConfidence,GEFCom,19,Long (17-24),15.06301135675406
Control_D_DynamicConfidence,GEFCom,20,Long (17-24),15.117384028977048
Control_D_DynamicConfidence,GEFCom,21,Long (17-24),15.255628847518885
Control_D_DynamicConfidence,GEFCom,22,Long (17-24),15.248579676172522
Control_D_DynamicConfidence,GEFCom,23,Long (17-24),15.393956012520832
Control_D_DynamicConfidence,GEFCom,24,Long (17-24),15.731433411219152
Control_D_DynamicConfidence,UCI,1,Short (1-8),6.831422010960305
Control_D_DynamicConfidence,UCI,2,Short (1-8),7.122533481714996
Control_D_DynamicConfidence,UCI,3,Short (1-8),7.648411432119918
Control_D_DynamicConfidence,UCI,4,Short (1-8),7.227410386372938
Control_D_DynamicConfidence,UCI,5,Short (1-8),7.635503605636538
Control_D_DynamicConfidence,UCI,6,Short (1-8),7.94220317125858
Control_D_DynamicConfidence,UCI,7,Short (1-8),7.985300838690433
Control_D_DynamicConfidence,UCI,8,Short (1-8),8.315360448261838
Control_D_DynamicConfidence,UCI,9,Medium (9-16),8.617001180156747
Control_D_DynamicConfidence,UCI,10,Medium (9-16),8.746141074784589
Control_D_DynamicConfidence,UCI,11,Medium (9-16),8.645350947206312
Control_D_DynamicConfidence,UCI,12,Medium (9-16),8.51872463598786
Control_D_DynamicConfidence,UCI,13,Medium (9-16),8.396926523503518
Control_D_DynamicConfidence,UCI,14,Medium (9-16),8.909465586919255
Control_D_DynamicConfidence,UCI,15,Medium (9-16),8.769326937859555
Control_D_DynamicConfidence,UCI,16,Medium (9-16),8.50579379980463
Control_D_DynamicConfidence,UCI,17,Long (17-24),8.853656764748594
Control_D_DynamicConfidence,UCI,18,Long (17-24),8.654333775839305
Control_D_DynamicConfidence,UCI,19,Long (17-24),8.69038434322328
Control_D_DynamicConfidence,UCI,20,Long (17-24),8.456282840119053
Control_D_DynamicConfidence,UCI,21,Long (17-24),8.564816966324479
Control_D_DynamicConfidence,UCI,22,Long (17-24),8.580888689447647
Control_D_DynamicConfidence,UCI,23,Long (17-24),8.575725568430892
Control_D_DynamicConfidence,UCI,24,Long (17-24),8.783242438929955
Candidate_E1_HGR_FS,PJM,1,Short (1-8),141.11235951670824
Candidate_E1_HGR_FS,PJM,2,Short (1-8),163.48043218193823
Candidate_E1_HGR_FS,PJM,3,Short (1-8),187.14900697186266
Candidate_E1_HGR_FS,PJM,4,Short (1-8),211.76910918472691
Candidate_E1_HGR_FS,PJM,5,Short (1-8),238.73873304840996
Candidate_E1_HGR_FS,PJM,6,Short (1-8),252.22707045047358
Candidate_E1_HGR_FS,PJM,7,Short (1-8),268.29269651124304
Candidate_E1_HGR_FS,PJM,8,Short (1-8),272.07330360083
Candidate_E1_HGR_FS,PJM,9,Medium (9-16),283.5163806642788
Candidate_E1_HGR_FS,PJM,10,Medium (9-16),285.6006765926974
Candidate_E1_HGR_FS,PJM,11,Medium (9-16),290.0935628986004
Candidate_E1_HGR_FS,PJM,12,Medium (9-16),285.7147551542844
Candidate_E1_HGR_FS,PJM,13,Medium (9-16),279.70548128798174
Candidate_E1_HGR_FS,PJM,14,Medium (9-16),281.8225464599667
Candidate_E1_HGR_FS,PJM,15,Medium (9-16),268.67986454684336
Candidate_E1_HGR_FS,PJM,16,Medium (9-16),273.4493548265832
Candidate_E1_HGR_FS,PJM,17,Long (17-24),282.5163093381124
Candidate_E1_HGR_FS,PJM,18,Long (17-24),272.3179651082988
Candidate_E1_HGR_FS,PJM,19,Long (17-24),268.1501256618374
